0.000000,0.000000,0.000000
0.000100,0.002400,0.003100
0.000500,-0.003500,-0.003600
0.006200,-0.002300,0.004400
-0.005700,-0.000700,0.005800
0.000000,0.004400,-0.007500
0.007300,0.004700,-0.001900
0.008000,0.004500,0.003100
0.005200,-0.001000,-0.008200
-0.003100,-0.009800,-0.002400
-0.001500,0.006600,0.008100
-0.005200,0.004100,0.008300
0.002700,0.010300,-0.003300
-0.005600,-0.006400,-0.007400
-0.005500,-0.005200,-0.008400
-0.001300,0.009300,-0.006400
0.011100,0.002500,0.003100
-0.007900,0.008100,0.005200
-0.008000,0.007300,-0.006700
-0.005100,-0.000900,0.012000
0.008900,0.006100,0.007800
-0.008600,-0.009800,0.003400
0.001500,0.000300,0.014500
0.005200,-0.012300,-0.006000
-0.009100,-0.001200,-0.011900
0.012100,-0.009200,0.000000
-0.011100,0.000300,-0.010600
0.009800,-0.011200,0.003900
0.009700,0.001500,0.012700
-0.009000,0.013200,-0.003200
0.015000,-0.004200,-0.005300
0.013800,-0.009300,-0.005100
0.012500,-0.012000,-0.002400
0.014600,0.009100,0.005500
0.004200,-0.002300,0.017500
0.012100,-0.013400,0.004500
0.018100,-0.000200,0.005200
-0.009300,-0.012300,0.011100
-0.011500,0.015600,0.005500
0.013100,-0.013400,0.007700
0.002200,-0.017100,-0.010700
0.012100,-0.016900,-0.001900
-0.011700,-0.005400,-0.016500
0.020800,0.001600,-0.004100
0.010900,-0.007600,-0.016800
0.006300,0.007500,-0.019600
0.016100,-0.008300,-0.012400
0.016400,-0.002100,-0.014500
0.020800,0.000900,0.008800
0.008800,0.018400,-0.010000
-0.018600,0.002900,0.014500
-0.003800,0.022600,-0.006800
-0.014200,-0.017000,0.009500
-0.009400,-0.004800,0.021800
-0.015400,-0.001100,0.019400
-0.022200,-0.010000,0.006100
0.019700,0.005500,-0.015600
0.021100,0.006900,-0.013200
0.017700,-0.016900,-0.008500
0.004700,0.002600,-0.025900
0.009900,0.005900,0.024200
0.018600,-0.019800,-0.001700
0.004800,0.021000,0.017800
0.013300,-0.014100,0.020400
-0.000500,0.022200,0.017300
0.019800,-0.020300,0.000900
0.017900,0.006300,-0.021200
0.014700,0.010200,-0.023500
-0.017900,-0.022400,0.007100
0.008400,0.023000,0.016900
0.017600,0.006100,0.023200
0.017800,0.024100,0.005600
0.002500,0.019700,-0.024000
0.022600,-0.019200,0.009700
0.024100,0.014300,-0.014400
-0.026500,-0.007600,0.015800
0.012800,0.018600,-0.024600
0.021100,0.026200,-0.004100
-0.031500,0.012300,-0.002500
-0.017900,-0.013700,0.025400
-0.006700,-0.033700,-0.005000
-0.029800,0.009600,0.015100
-0.021900,-0.020700,0.018500
-0.003100,-0.021500,0.028500
0.030300,0.000400,-0.020200
0.006600,-0.025600,-0.025900
0.036600,0.001300,0.008400
0.020800,-0.004500,-0.031200
0.019300,0.031800,-0.006900
0.024500,0.010500,-0.027600
0.021300,0.032000,0.001700
-0.024500,0.027600,0.011300
-0.020300,0.032200,0.006700
-0.013900,-0.007900,0.035500
-0.035900,0.006500,0.013600
-0.022800,-0.019900,0.024800
-0.035600,-0.016800,-0.000500
0.013600,0.029500,0.022700
-0.002100,-0.018700,-0.036000
0.029500,-0.000200,-0.028800
0.040700,-0.008600,0.004800
0.032500,0.003300,-0.026600
-0.003200,-0.017400,0.038600
-0.004500,-0.009800,-0.041100
0.009100,0.034300,-0.024900
0.014600,-0.011700,0.039900
-0.013200,0.021100,-0.036400
-0.034100,0.015500,0.023300
0.030200,0.007400,0.031400
0.038100,0.016700,0.015300
-0.026600,0.031700,0.016700
0.034600,0.022100,0.017800
-0.002900,0.009500,-0.043700
0.033500,0.015300,-0.026000
-0.015800,0.041700,-0.007400
0.006700,-0.019200,-0.041200
-0.038500,-0.026600,0.003100
0.039300,0.003300,-0.026400
-0.027900,0.001400,-0.038700
0.000600,-0.032500,0.035100
0.012700,0.039800,0.024000
-0.003800,-0.029800,0.038000
-0.030700,0.033100,-0.018100
-0.027000,0.006100,-0.040400
0.000400,-0.047800,0.010900
0.029400,-0.004700,0.039100
-0.020800,-0.005600,0.044300
-0.038900,0.007400,0.029600
-0.033600,0.009200,-0.035500
-0.023700,0.041800,0.013100
0.044200,0.013500,-0.018800
0.015100,0.005800,0.047600
0.043800,0.003800,-0.024800
-0.013900,0.031400,-0.037400
-0.017200,-0.009600,-0.047500
0.051900,-0.003000,-0.004100
0.011000,-0.048400,-0.017400
0.048900,0.014100,-0.013300
0.031800,0.028900,-0.030700
-0.018000,-0.044700,0.021900
0.050700,0.005800,-0.016700
0.020500,0.033300,-0.038100
-0.040100,0.012800,0.035300
-0.005300,-0.045000,0.031500
0.004900,0.005400,0.055000
0.014000,0.037400,-0.038600
0.012500,0.053500,-0.008800
0.011700,0.053400,0.012600
-0.019900,0.050300,-0.015000
0.026900,0.010000,0.048500
-0.003400,-0.046300,0.033600
0.002700,-0.052700,0.022900
-0.027700,-0.041100,0.029300
0.005300,0.027200,0.050600
0.048500,-0.008700,-0.030100
0.028500,0.026700,0.042700
0.038300,0.043600,-0.001300
0.024300,-0.053400,-0.007500
0.035700,0.025400,0.040000
-0.034500,0.010500,0.048200
0.002500,0.058000,0.016300
-0.003300,-0.034300,-0.049700
0.024000,-0.026400,0.049800
-0.024400,0.024100,0.051000
0.022400,0.021400,-0.053100
0.003100,0.041600,-0.045700
-0.016400,-0.010600,0.059000
-0.033800,0.050300,-0.014000
0.012600,-0.049800,-0.036400
-0.012100,0.018600,-0.059400
0.058000,-0.015100,0.021300
-0.013900,-0.054600,-0.030900
-0.061500,-0.018800,-0.004600
-0.027200,-0.003300,0.058700
0.061900,-0.003200,0.019900
0.053100,0.035400,-0.014700
-0.051600,-0.040900,0.000000
-0.021700,0.046300,0.043000
-0.021900,0.019700,0.060100
0.043600,-0.017100,-0.047900
-0.013900,-0.060700,0.025700
-0.039000,0.050300,-0.022100
-0.013700,-0.011900,0.065500
0.042300,0.052300,0.010300
-0.009200,0.065700,0.015200
-0.022900,0.007800,-0.063800
-0.005000,-0.067500,-0.013400
0.038100,0.043000,0.039900
-0.064700,-0.011700,0.023900
0.035900,-0.058200,-0.015300
0.061300,0.012200,-0.031800
0.049500,-0.022600,-0.044600
-0.064800,0.019200,0.019700
0.021300,0.060400,-0.029500
-0.039200,0.019200,-0.055500
-0.052900,0.027800,0.038400
0.038200,0.000400,-0.059900
-0.025100,-0.022600,0.062900
0.066300,0.009300,0.025200
0.044800,0.023100,0.051100
-0.019700,0.020600,0.065900
-0.014800,0.061700,0.034800
-0.027300,-0.045400,0.050400
-0.047700,-0.048100,0.029600
-0.042100,0.003400,0.060800
0.041200,0.015600,-0.060300
0.024500,0.010300,-0.069900
0.028500,0.066500,-0.019000
0.075000,0.004400,0.006700
0.061200,0.016300,-0.042500
-0.046100,0.041900,0.044100
-0.027500,0.027200,-0.066000
0.044500,-0.007900,0.062200
0.025800,0.031300,0.065600
-0.072400,-0.025700,0.007000
0.075700,-0.009300,0.014900
0.026700,-0.066800,0.030000
-0.058400,0.029400,0.043400
-0.063400,-0.015700,0.044800
0.016300,-0.042500,-0.065100
0.066200,0.023100,0.037600
-0.003900,-0.079500,-0.000400
0.006700,-0.051800,-0.060700
0.006800,0.063000,0.049200
-0.025000,-0.013800,0.075100
0.080400,-0.004700,-0.000300
0.073600,0.028100,-0.019900
-0.072600,-0.031400,-0.020700
0.008500,-0.021300,-0.079400
-0.036100,-0.060600,0.043400
0.044300,-0.069200,0.013000
0.040400,0.013700,-0.071800
0.076500,0.014800,0.030200
-0.076700,-0.012600,-0.030700
-0.025500,-0.025200,-0.075600
0.051700,-0.039200,0.055900
-0.005200,0.079200,0.032300
0.039600,0.075800,-0.006600
0.014600,0.019300,-0.083700
-0.037400,-0.069900,0.036400
-0.014800,-0.056800,-0.064600
-0.002300,0.035300,0.080500
-0.078700,-0.001100,0.039500
-0.076700,0.005600,0.045300
0.029000,0.063300,0.057000
0.081200,0.016700,0.035600
-0.085600,-0.027800,0.018600
-0.035100,0.015800,-0.083800
0.064000,0.062100,-0.024300
0.005500,0.068800,0.061700
-0.021600,0.080300,0.040800
0.058000,0.048000,0.055500
0.022900,0.058200,-0.069600
-0.072400,-0.021400,0.055500
0.038600,-0.032000,-0.079300
0.083100,0.042300,0.014400
-0.042400,-0.022700,0.081600
-0.079300,0.043600,0.029300
-0.078200,-0.033300,0.046200
0.028200,-0.011700,-0.092100
0.037900,-0.088600,-0.013800
0.075600,0.054800,-0.028700
0.000500,-0.082000,0.053100
0.019900,0.092000,-0.030300
0.094900,0.015600,-0.023400
-0.057100,0.035800,0.074500
-0.052000,-0.026900,-0.081900
-0.078100,0.009700,0.062800
-0.068400,0.016600,0.072400
0.048500,-0.005000,-0.088700
0.071200,-0.050400,0.052100
-0.091800,0.000100,0.044000
0.076200,-0.064800,-0.020900
-0.073100,0.000200,-0.072100
0.084600,0.017400,0.055800
0.057100,-0.007400,-0.085700
0.026700,0.036600,0.093000
-0.047300,0.037900,-0.083900
-0.048000,-0.082200,0.041100
0.097700,0.004500,-0.034500
-0.046300,0.007600,-0.092500
0.071300,0.036000,-0.067100
-0.071300,-0.002600,0.076900
-0.022200,-0.098100,0.031100
-0.044300,-0.063400,0.071600
-0.100600,-0.002900,0.031500
-0.030800,0.072400,0.070300
0.008400,-0.095800,-0.044500
-0.004700,0.092900,-0.051200
0.002400,-0.033700,-0.100700
-0.012500,-0.055900,0.090200
-0.064200,-0.076600,-0.039500
0.044000,-0.093900,-0.030100
-0.013800,-0.101500,-0.034800
0.014400,0.107800,-0.004700
0.065100,0.050600,-0.071500
0.009000,-0.069700,0.084200
0.035300,0.104100,0.000500
-0.051200,-0.087800,-0.042800
0.017100,-0.034700,-0.103500
-0.052700,0.011900,0.096500
0.049500,-0.084900,0.054600
-0.104600,-0.017600,0.037700
-0.046300,0.100800,0.019200
-0.052700,-0.078000,0.061900
-0.008300,-0.071200,-0.087300
0.043200,0.091800,0.050600
-0.104500,-0.026900,0.037100
0.069500,-0.086000,-0.030200
0.084200,-0.015900,-0.076800
0.070000,0.030000,-0.086600
-0.066700,-0.006100,0.094500
-0.049000,0.055700,0.089700
-0.006700,-0.017200,0.115400
-0.026100,0.057000,-0.099800
-0.061700,-0.095300,-0.032300
-0.045000,-0.020900,-0.107500
-0.073500,0.092400,-0.012200
0.115800,-0.016800,0.020700
0.008500,0.002200,0.118600
0.110300,0.034200,0.028500
-0.076600,-0.080900,0.042300
0.059000,0.083200,-0.062500
-0.035900,-0.050400,-0.102900
0.097500,-0.028200,-0.064200
0.060100,0.072400,0.075000
-0.054000,-0.068300,-0.083200
-0.046300,-0.038800,0.104300
-0.025000,-0.068800,0.098200
0.016200,0.117800,0.033700
-0.058000,-0.090800,0.061500
0.061100,0.037000,0.101900
